05661,056610,this flower is red in color, with petals that are ruffled in appearance.
05661,056611,this flower has large red petals and no visible outer stigma
05661,056612,this flower has small red petals which are slightly ruffled and have curved edges.
05661,056613,the flower shown has small red petals with green pedicel
05661,056614,this red flower has the overlapped petals which looks as a bunch
05661,056615,this flower has petals that are red and are bunched together
05661,056616,the red petals flourishes the dark pollen tube on the pedicel
05661,056617,this flower is red in color, and has petals that are rounded in shape and ruffled.
05661,056618,this flower has small and smooth rounded bright pink petals.
05661,056619,the petals of this flower are red and the pedicel is short and green
05666,056660,this flower is white in color, with petals that are wavy and uneven.
05666,056661,this flower has several large smooth white petals with very ruffled edges.
05666,056662,this flower has petals that are white with a green pedicel.
05666,056663,the petals of this flower are white with a short stigma
05666,056664,this flower has petals that are white with ruffled edges
05666,056665,this flower has large all white petals with pleated edges and small green sepal.
05666,056666,this flower has petals that are white and are folded together
05666,056667,this flower only has a few white petals but does have a visible green sepal.
05666,056668,this white flower consists of two pedals connected to a green base.
05666,056669,the flower has a white petals around the green pollen tube
05668,056680,this flower has thin and smooth petals which are small and pale purple.
05668,056681,what is so special about this flower is its like orchid purple color.
05668,056682,the pedicel grows different flowers from it whose petals are purple.
05668,056683,this flower has petals that are purple and folded up
05668,056684,this flower is purple in color, with petals that are thin and wavy.
05668,056685,a purple flower with wide petals and a green stem
05668,056686,this flower has petals that are purple and is folded apart
05668,056687,this flower is pink in color, and has petals that are wavy and oval shaped.
05668,056688,this flower has a few light purple petals that have rounded edges.
05668,056689,this flower has flat, light purple petals and no visible stamen.
05653,056530,what i like about this flower is its mixture of purple petals
05653,056531,the petals on this flower are white with purple lines.
05653,056532,the flower shown has several small blue and white petals.
05653,056533,this flower's petals are variegated blue and white, and there are two petals per flower.
05653,056534,this flower has petals that are purple with white patches
05653,056535,a butterfly shaped flower with blue and white petals in proportion it's sides.
05653,056536,the flower has small blue petals with white spots and rest on a thin green pedicel.
05653,056537,this flower has wing-shaped petals with wavy edges and a pattern of large, gradating blue and white splotches.
05653,056538,this flower has petals with a wrinkled texture and an irregular blue and white coloring.
05653,056539,this flower has petals that are purple and has white shading
05682,056820,the flower is red in color with a long pedicel with leaves on it
05682,056821,the red flower has few petals, but a vibrant color.
05682,056822,this unusual red flower has fluttery rounded leaves.
05682,056823,this flower has red alternating petals and a green pedicel.
05682,056824,a off sided red petals together with a light green sepel around the base of the petals sits atop a green pedicel.
05682,056825,this flower has petals that are red and has white stamen
05682,056826,this flower has smooth red petals attached to brown pedicels.
05682,056827,a flower that is bright red that is on a stem that is long.
05682,056828,this flower has very short green sepals underneath a couple of bright red petals that are wavy in shape.
05682,056829,this flower has red wavy petals and a dark green pedicel.
05654,056540,dark purple pedals white middle green leaves
05654,056541,the petals on this flower are pink with no visible stamen.
05654,056542,this flower has petals that are pink and ruffled at the edges
05654,056543,the petals of this flower are pink with a short stigma
05654,056544,this flower is pink in color, with petals that are wavy and curled.
05654,056545,this flower has smooth and rounded pink petals which are slightly ruffled.
05654,056546,this flower has large pink and white petals with a dark green pedicel.
05654,056547,this flower is pink in color, and has petals that are wavy and thin.
05654,056548,this flower has petals that are pink and are folded upwards
05654,056549,this flower has a straight stem with many wavy bright pink petals on it.
00272,002720,a white flower with petals that are soft, smooth, separated and surround the stamen in many layers
00272,002721,this flower has oval shaped white petals that face upwards, with long yellow stamen coming out of the receptacle.
00272,002722,this flower has petals that are white and bunched together
00272,002723,thick thalamus with layered white petals and yellowish filaments and green pedicel
00272,002724,this flower is white and pink in color, with petals that are curled upward.
00272,002725,this flower has petals that are white and has yellow stamen
00272,002726,this flower has white petals as well as a yellow stamen.
00272,002727,a couple of white flowers with long pedals and a golden center.
00272,002728,this flower is white, yellow, and pink in color, and has petals that are oval shaped and curved upward.
00272,002729,this flower has a yellow center surrounded by pointed, upturned white petals.
00356,003560,this flower has white petals with yellow in the inside
00356,003561,the petals on this flower are white with yellow stamen.
00356,003562,this flower is white and yellow in color, with petals that are oval shaped.
00356,003563,this flower has petals that are yellow with yellow stamen
00356,003564,this is a white flower with triangle-shaped petals and yellow stamens.
00356,003565,this flower has multiple white petals and yellow stamen coming from the center; it floats in the water.
00356,003566,this flower has petals that are white and has yellow stamen
00356,003567,this flower has yellow/white petals and a very bright yellow center of stamen.
00356,003568,yellow-white pointed petals that are stacked, and yellow anthers.
00356,003569,yellow-white pointed petals that are stacked, and yellow anthers.
00420,004200,this flower is white and yellow in color, with petals that are oval shaped.
00420,004201,the long yellow anthers are visible in middle of the white petals.
00420,004202,this flower has petals that are white with yellow stamen
00420,004203,the flower is so beautiful and has petals that are soft, smooth, thin and separately arranged in different layers around the stamens that are yellow
00420,004204,the petals on this flower are white with yellow stamen.
00420,004205,this flower has petals that are white and has yellow stamen
00420,004206,layers of long slender white petals surround a cluster of yellow stamen.
00420,004207,the multiple layers of white petals and a bright yellow stamen adorns this flower.
00420,004208,this flower has long pointed white petals with yellow stamen and stigma.
00420,004209,rows of bright white pointed petals with prominent yellow stamen.
00387,003870,this flower has a large number of white elongated petals with yellow stamen at the center.
00387,003871,this flower has layers of white petals and yellow stamen.
00387,003872,this flower is white and yellow in color, with petals that are oval shaped.
00387,003873,this is a white flower with many petals and yellow stigma.
00387,003874,this flower has petals that are white with yellow stamen
00387,003875,this flower has long white petals that fold inward and long yellow stamens
00387,003876,this flower has petals that are white and has yellow stamen
00387,003877,this flower is white in color, and has petals that are oval shaped and layered.
00387,003878,this flower has multiple rows of pointed white petals, yellow anther filaments and large, leathery textured green leaves.
00387,003879,this white and black flower has pointed petals and yellow stamen with yellow anthers.
00351,003510,this flower has long white pointy petals and yellow stamen in the middle
00351,003511,this flower is white and yellow in color, with petals that are pointed on the ends.
00351,003512,this many-petalled pale pink and green water flower has a bright yellow center and floats on the water surface along with its round notched foliage.
00351,003513,this unique flower has one large tubular petal and a thick stamen.
00351,003514,the flower has smooth white petals with yellow anther and filament in the center
00351,003515,this flower has a thick center of yellow stamen inside of a cup-like arrangement of layers of white pointed petals.
00351,003516,this flower is white in color, and has petals that are oval shaped.
00351,003517,this flower has white petals as well as a yellow stamen.
